title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 대구,39,,https://ticketimage.interpark.com/Play/image/large/25/25011980_p.gif,https://tickets.interpark.com/goods/25011980,,0.4,,,,interpark,2025-11-04T16:21:31.070162
뮤지컬 〈팬레터〉 10주년 기념 공연,40,,https://ticketimage.interpark.com/Play/image/large/25/25015215_p.gif,https://tickets.interpark.com/goods/25015215,2025.12.5 ~ 2026.2.22,0.4,,,,interpark,2025-11-04T16:21:31.070163
뮤지컬 〈미세스 다웃파이어〉 - 세종시,41,,https://ticketimage.interpark.com/Play/image/large/25/25015113_p.gif,https://tickets.interpark.com/goods/25015113,,0.3,,,,interpark,2025-11-04T16:21:31.070164
뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉 2025,42,9.9,https://ticketimage.interpark.com/Play/image/large/25/25010888_p.gif,https://tickets.interpark.com/goods/25010888,,0.3,,,,interpark,2025-11-04T16:21:31.070165
이은결 〈TRACK〉 - 크리스마스 수원,43,,https://ticketimage.interpark.com/Play/image/large/25/25014398_p.gif,https://tickets.interpark.com/goods/25014398,,0.3,,,,interpark,2025-11-04T16:21:31.070166
뮤지컬 〈맘마미아!〉 - 대구,44,,https://ticketimage.interpark.com/Play/image/large/25/25014015_p.gif,https://tickets.interpark.com/goods/25014015,,0.3,,,,interpark,2025-11-04T16:21:31.070167
난타(NANTA) - 명동공연,45,9.7,https://ticketimage.interpark.com/Play/image/large/22/22006637_p.gif,https://tickets.interpark.com/goods/22006637,2022.7.8 ~ 2026.3.31,0.3,,,,interpark,2025-11-04T16:21:31.070168
뮤지컬 〈푸른 사자 와니니〉,46,,https://ticketimage.interpark.com/Play/image/large/25/25015219_p.gif,https://tickets.interpark.com/goods/25015219,,0.3,,,,interpark,2025-11-04T16:21:31.070170
뮤지컬 〈맘마미아!〉 - 안산,47,,https://ticketimage.interpark.com/Play/image/large/25/25015231_p.gif,https://tickets.interpark.com/goods/25015231,,0.2,,,,interpark,2025-11-04T16:21:31.070171
뮤지컬 〈빨래〉 - 대구,48,,https://ticketimage.interpark.com/Play/image/large/25/25013473_p.gif,https://tickets.interpark.com/goods/25013473,,0.2,,,,interpark,2025-11-04T16:21:31.070172
뮤지컬 〈르 마스크〉,49,9.8,https://ticketimage.interpark.com/Play/image/large/25/25009176_p.gif,https://tickets.interpark.com/goods/25009176,,0.2,,,,interpark,2025-11-04T16:21:31.070173
뮤지컬 〈미세스 다웃파이어〉 - 수원,50,,https://ticketimage.interpark.com/Play/image/large/25/25015757_p.gif,https://tickets.interpark.com/goods/25015757,,0.2,,,,interpark,2025-11-04T16:21:31.070174
