title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
뮤지컬 〈비하인드 더 문 (Behind the Moon)〉,35,,https://ticketimage.interpark.com/Play/image/large/25/25013716_p.gif,https://tickets.interpark.com/goods/25013716,2025.11.11~2026.2.8,0.4,,충무아트센터 중극장 블랙,,interpark,2025-11-18T13:26:19.163455
최현우 19+I - 고양,36,,https://ticketimage.interpark.com/Play/image/large/25/25013401_p.gif,https://tickets.interpark.com/goods/25013401,2025.11.29~11.30,0.4,,고양아람누리 아람극장,,interpark,2025-11-18T13:26:19.163456
뮤지컬 〈맘마미아!〉 - 평택,37,,https://ticketimage.interpark.com/Play/image/large/25/25015923_p.gif,https://tickets.interpark.com/goods/25015923,2026.1.2~1.4,0.3,,평택아트센터,,interpark,2025-11-18T13:26:19.163457
뮤지컬〈#0528〉,37,,https://ticketimage.interpark.com/Play/image/large/25/25013154_p.gif,https://tickets.interpark.com/goods/25013154,2025.10.22~2026.1.11,0.3,,링크아트센터드림 드림1관,,interpark,2025-11-18T13:26:19.163458
뮤지컬 〈미세스 다웃파이어〉 - 수원,39,,https://ticketimage.interpark.com/Play/image/large/25/25015757_p.gif,https://tickets.interpark.com/goods/25015757,2026.1.17~1.18,0.3,,경기아트센터 대극장,,interpark,2025-11-18T13:26:19.163459
뮤지컬 〈레드북〉 - 용인,39,,https://ticketimage.interpark.com/Play/image/large/25/25015201_p.gif,https://tickets.interpark.com/goods/25015201,2026.1.9~1.11,0.3,,용인포은아트홀,,interpark,2025-11-18T13:26:19.163460
뮤지컬 〈보니 앤 클라이드〉,39,,https://ticketimage.interpark.com/Play/image/large/25/25015688_p.gif,https://tickets.interpark.com/goods/25015688,2025.12.11~2026.3.2,0.3,,홍익대 대학로 아트센터 대극장,,interpark,2025-11-18T13:26:19.163461
난타(NANTA) - 명동공연,39,,https://ticketimage.interpark.com/Play/image/large/22/22006637_p.gif,https://tickets.interpark.com/goods/22006637,2022.7.8~2026.3.31,0.3,,명동난타극장,,interpark,2025-11-18T13:26:19.163462
2026 최현우 아판타시아 - 용인,43,,https://ticketimage.interpark.com/Play/image/large/25/25015580_p.gif,https://tickets.interpark.com/goods/25015580,2026.1.10~1.11,0.3,,용인시문예회관 처인홀,,interpark,2025-11-18T13:26:19.163463
2026 최현우 아판타시아 - 부산,43,,https://ticketimage.interpark.com/Play/image/large/25/25015621_p.gif,https://tickets.interpark.com/goods/25015621,2026.1.17~1.18,0.3,,동서대학교 소향씨어터 신한카드홀,,interpark,2025-11-18T13:26:19.163464
뮤지컬 헝키쇼 (HUNKY SHOW),43,,https://ticketimage.interpark.com/Play/image/large/25/25003978_p.gif,https://tickets.interpark.com/goods/25003978,2025.4.25~2026.2.28,0.3,,스타스테이지,,interpark,2025-11-18T13:26:19.163465
뮤지컬 〈 김종욱 찾기〉 - 여수,43,,https://ticketimage.interpark.com/Play/image/large/25/25014656_p.gif,https://tickets.interpark.com/goods/25014656,2025.12.19~12.24,0.3,,GS칼텍스 예울마루 소극장,,interpark,2025-11-18T13:26:19.163466
2025 뮤지컬 〈킹키부츠〉 - 여수,47,,https://ticketimage.interpark.com/Play/image/large/25/25014234_p.gif,https://tickets.interpark.com/goods/25014234,2025.11.22~11.23,0.2,,GS칼텍스 예울마루 대극장,,interpark,2025-11-18T13:26:19.163467
뮤지컬 〈맘마미아!〉 - 인천,47,,https://ticketimage.interpark.com/Play/image/large/25/25013537_p.gif,https://tickets.interpark.com/goods/25013537,2025.11.21~11.23,0.2,,인천문화예술회관 대공연장,,interpark,2025-11-18T13:26:19.163468
쇼뮤지컬 〈더 맨 얼라이브 : 초이스〉,47,,https://ticketimage.interpark.com/Play/image/large/25/25014107_p.gif,https://tickets.interpark.com/goods/25014107,2025.11.5~2026.1.31,0.2,,서울숲씨어터 1관,,interpark,2025-11-18T13:26:19.163470
2025 난타 크리스마스 특별 대구 공연,47,,https://ticketimage.interpark.com/Play/image/large/25/25014850_p.gif,https://tickets.interpark.com/goods/25014850,2025.12.19~12.25,0.2,,수성아트피아 대극장,,interpark,2025-11-18T13:26:19.163471
