title,rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,detail_url,yes24_detail_url,performance_period,booking_rate,venue,source,crawled_at,final_rank
뮤지컬 〈미세스 다웃파이어〉 - 세종시,41,41.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015113_p.gif,https://tickets.interpark.com/goods/25015113,,,0.3,,interpark,2025-11-04T16:22:36.642301,40
뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉 2025,42,42.0,,9.9,,https://ticketimage.interpark.com/Play/image/large/25/25010888_p.gif,https://tickets.interpark.com/goods/25010888,,,0.3,,interpark,2025-11-04T16:22:36.642302,41
이은결 〈TRACK〉 - 크리스마스 수원,43,43.0,20.0,,,https://ticketimage.interpark.com/Play/image/large/25/25014398_p.gif,https://tickets.interpark.com/goods/25014398,https://ticket.yes24.com/Perf/55304,,0.3,,both,2025-11-04T16:22:36.642303,42
뮤지컬 〈맘마미아!〉 - 대구,44,44.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014015_p.gif,https://tickets.interpark.com/goods/25014015,,,0.3,,interpark,2025-11-04T16:22:36.642305,43
난타(NANTA) - 명동공연,45,45.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/22/22006637_p.gif,https://tickets.interpark.com/goods/22006637,,2022.7.8 ~ 2026.3.31,0.3,,interpark,2025-11-04T16:22:36.642306,44
뮤지컬 〈푸른 사자 와니니〉,46,46.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015219_p.gif,https://tickets.interpark.com/goods/25015219,,,0.3,,interpark,2025-11-04T16:22:36.642307,45
뮤지컬 〈맘마미아!〉 - 안산,47,47.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015231_p.gif,https://tickets.interpark.com/goods/25015231,,,0.2,,interpark,2025-11-04T16:22:36.642308,46
뮤지컬 〈빨래〉 - 대구,48,48.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013473_p.gif,https://tickets.interpark.com/goods/25013473,,,0.2,,interpark,2025-11-04T16:22:36.642309,47
뮤지컬 〈르 마스크〉,49,49.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25009176_p.gif,https://tickets.interpark.com/goods/25009176,,,0.2,,interpark,2025-11-04T16:22:36.642310,48
뮤지컬 〈미세스 다웃파이어〉 - 수원,50,50.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015757_p.gif,https://tickets.interpark.com/goods/25015757,,,0.2,,interpark,2025-11-04T16:22:36.642311,49
IDOL RADIO Special : SUPER VIBE KOREA,50,,2.0,,,,https://ticket.yes24.com/Perf/55825,https://ticket.yes24.com/Perf/55825,,,,yes24,2025-11-04T16:23:22.666163,50
지소쿠리클럽 연말 단독 콘서트 〈Into the Wild〉,51,,3.0,,,,https://ticket.yes24.com/Perf/55818,https://ticket.yes24.com/Perf/55818,,,,yes24,2025-11-04T16:23:22.666165,51
뮤지컬 [해몽가],52,,4.0,,,,https://ticket.yes24.com/Perf/55772,https://ticket.yes24.com/Perf/55772,,,,yes24,2025-11-04T16:23:22.666167,52
뮤지컬 [어쩌면 해피엔딩] - YES24DAY,53,,5.0,,,,https://ticket.yes24.com/Perf/55763,https://ticket.yes24.com/Perf/55763,,,,yes24,2025-11-04T16:23:22.666169,53
뮤지컬 슈가 [SUGAR],54,,6.0,,,,https://ticket.yes24.com/Perf/55750,https://ticket.yes24.com/Perf/55750,,,,yes24,2025-11-04T16:23:22.666171,54
뮤지컬 [캐빈],55,,8.0,,,,https://ticket.yes24.com/Perf/55710,https://ticket.yes24.com/Perf/55710,,,,yes24,2025-11-04T16:23:22.666173,55
뮤지컬 [존 도우],56,,9.0,,,,https://ticket.yes24.com/Perf/55670,https://ticket.yes24.com/Perf/55670,,,,yes24,2025-11-04T16:23:22.666175,56
뮤지컬 크리스마스 캐럴,57,,10.0,,,,https://ticket.yes24.com/Perf/55607,https://ticket.yes24.com/Perf/55607,,,,yes24,2025-11-04T16:23:22.666177,57
뮤지컬 [바둑이와 세리],58,,11.0,,0.0,,https://ticket.yes24.com/Perf/55567,https://ticket.yes24.com/Perf/55567,,,,yes24,2025-11-04T16:23:22.666178,58
COUNTDOWN FANTASY 2025-2026,59,,12.0,,,,https://ticket.yes24.com/Perf/55543,https://ticket.yes24.com/Perf/55543,,,,yes24,2025-11-04T16:23:22.666180,59
[창원] 뮤지컬 [여명],60,,13.0,,,,https://ticket.yes24.com/Perf/55502,https://ticket.yes24.com/Perf/55502,,,,yes24,2025-11-04T16:23:22.666181,60
