title,combined_rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,interpark_detail_url,yes24_detail_url,performance_period,cast,venue,sources,final_rank
뮤지컬 〈미세스 다웃파이어〉 - 세종시,33.0,33.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015113_p.gif,https://tickets.interpark.com/goods/25015113,,2025.12.19~12.21,,세종예술의전당(세종특별자치시),['interpark'],65
[비지정석] 뮤지컬 [연남동 빙굴빙굴 빨래방] - 2025년 공연,34.0,,34.0,,0.0,,,https://ticket.yes24.com/Perf/51850,,,,['yes24'],66
뮤지컬 드라큘라(Dracula) OST [10TH ANNIVERSARY CAST RECORDING],35.0,,35.0,,5.0,,,https://ticket.yes24.com/Perf/51497,,,,['yes24'],67
뮤지컬 〈비하인드 더 문 (Behind the Moon)〉,35.0,35.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013716_p.gif,https://tickets.interpark.com/goods/25013716,,2025.11.11~2026.2.8,,충무아트센터 중극장 블랙,['interpark'],68
최현우 19+I - 고양,36.0,36.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013401_p.gif,https://tickets.interpark.com/goods/25013401,,2025.11.29~11.30,,고양아람누리 아람극장,['interpark'],69
페인터즈-광화문전용관,36.0,,36.0,,5.0,,,https://ticket.yes24.com/Perf/49034,,,,['yes24'],70
뮤지컬 〈맘마미아!〉 - 평택,37.0,37.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015923_p.gif,https://tickets.interpark.com/goods/25015923,,2026.1.2~1.4,,평택아트센터,['interpark'],71
뮤지컬〈#0528〉,37.0,37.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013154_p.gif,https://tickets.interpark.com/goods/25013154,,2025.10.22~2026.1.11,,링크아트센터드림 드림1관,['interpark'],72
25 뮤지컬 천로역정,37.0,,37.0,,5.0,,,https://ticket.yes24.com/Perf/47835,,,,['yes24'],73
25 스크루테이프의 편지,38.0,,38.0,,5.0,,,https://ticket.yes24.com/Perf/40844,,,,['yes24'],74
난타(NANTA) - 명동공연,39.0,39.0,,,,https://ticketimage.interpark.com/Play/image/large/22/22006637_p.gif,https://tickets.interpark.com/goods/22006637,,2022.7.8~2026.3.31,,명동난타극장,['interpark'],75
뮤지컬 〈레드북〉 - 용인,39.0,39.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015201_p.gif,https://tickets.interpark.com/goods/25015201,,2026.1.9~1.11,,용인포은아트홀,['interpark'],76
뮤지컬 〈보니 앤 클라이드〉,39.0,39.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015688_p.gif,https://tickets.interpark.com/goods/25015688,,2025.12.11~2026.3.2,,홍익대 대학로 아트센터 대극장,['interpark'],77
락뮤지컬 [프리즌],39.0,,39.0,,5.0,,,https://ticket.yes24.com/Perf/38930,,,,['yes24'],78
뮤지컬 〈미세스 다웃파이어〉 - 수원,39.0,39.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015757_p.gif,https://tickets.interpark.com/goods/25015757,,2026.1.17~1.18,,경기아트센터 대극장,['interpark'],79
[삼척] 가족뮤지컬 [빨간모자와늑대],40.0,,40.0,,0.0,,,https://ticket.yes24.com/Perf/31334,,,,['yes24'],80
2026 최현우 아판타시아 - 용인,43.0,43.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015580_p.gif,https://tickets.interpark.com/goods/25015580,,2026.1.10~1.11,,용인시문예회관 처인홀,['interpark'],81
뮤지컬 〈 김종욱 찾기〉 - 여수,43.0,43.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014656_p.gif,https://tickets.interpark.com/goods/25014656,,2025.12.19~12.24,,GS칼텍스 예울마루 소극장,['interpark'],82
뮤지컬 헝키쇼 (HUNKY SHOW),43.0,43.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25003978_p.gif,https://tickets.interpark.com/goods/25003978,,2025.4.25~2026.2.28,,스타스테이지,['interpark'],83
2026 최현우 아판타시아 - 부산,43.0,43.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015621_p.gif,https://tickets.interpark.com/goods/25015621,,2026.1.17~1.18,,동서대학교 소향씨어터 신한카드홀,['interpark'],84
2025 뮤지컬 〈킹키부츠〉 - 여수,47.0,47.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014234_p.gif,https://tickets.interpark.com/goods/25014234,,2025.11.22~11.23,,GS칼텍스 예울마루 대극장,['interpark'],85
뮤지컬 〈맘마미아!〉 - 인천,47.0,47.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013537_p.gif,https://tickets.interpark.com/goods/25013537,,2025.11.21~11.23,,인천문화예술회관 대공연장,['interpark'],86
쇼뮤지컬 〈더 맨 얼라이브 : 초이스〉,47.0,47.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014107_p.gif,https://tickets.interpark.com/goods/25014107,,2025.11.5~2026.1.31,,서울숲씨어터 1관,['interpark'],87
2025 난타 크리스마스 특별 대구 공연,47.0,47.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014850_p.gif,https://tickets.interpark.com/goods/25014850,,2025.12.19~12.25,,수성아트피아 대극장,['interpark'],88
